source,tp_bin_left,tp_bin_right,rows,hs_p50,hs_p95
fusion_v1_excluding_shallow,7.5,8.0,308,0.9767960900000001,2.028683429690621
fusion_v1_excluding_shallow,8.0,8.5,131,0.7060000335332006,1.8389518306524093
fusion_v1_excluding_shallow,8.5,9.0,68,0.7793333703496803,2.300385239941533
fusion_v1_excluding_shallow,9.0,9.5,79,0.5822139833333334,1.9112977975
fusion_v1_excluding_shallow,9.5,10.0,72,0.6444238608237356,1.3612300646549558
fusion_v1_excluding_shallow,10.0,10.5,118,0.7006666999465476,1.2600591930851806
fusion_v1_excluding_shallow,10.5,11.0,70,0.8670000411802903,1.4634739399305554
fusion_v1_excluding_shallow,11.0,11.5,49,0.7520000357180834,1.326678323883401
fusion_v1_excluding_shallow,11.5,12.0,42,0.9490000450750813,1.3285750631039261
fusion_v1_excluding_shallow,12.0,12.5,21,0.9006547927856445,1.2179231347713189
fusion_v1_excluding_shallow,12.5,13.0,14,0.6445432047479587,0.9963889362148216
fusion_v1_excluding_shallow,13.0,13.5,5,0.5520000262185931,0.674360816344144
fusion_v1_excluding_shallow,13.5,14.0,18,0.575833360683949,1.0740143367272268
fusion_v1_excluding_shallow,14.5,15.0,18,0.6972500331175979,1.203782688589611
fusion_v1_excluding_shallow,15.0,15.5,7,0.45228573576813297,0.6275000298046507
fusion_v1_excluding_shallow,15.5,16.0,9,0.5973333617051443,0.7122000338276848
