candidate,lat,lon,sector,share
EnBW Hohe See,54.44,6.33,N,0.04449152542372881
EnBW Hohe See,54.44,6.33,NE,0.01977401129943503
EnBW Hohe See,54.44,6.33,E,0.03884180790960452
EnBW Hohe See,54.44,6.33,SE,0.0826271186440678
EnBW Hohe See,54.44,6.33,S,0.13771186440677965
EnBW Hohe See,54.44,6.33,SW,0.2387005649717514
EnBW Hohe See,54.44,6.33,W,0.2874293785310734
EnBW Hohe See,54.44,6.33,NW,0.1504237288135593
Nordsee Ost,54.44,7.68,N,0.041666666666666664
Nordsee Ost,54.44,7.68,NE,0.020480225988700564
Nordsee Ost,54.44,7.68,E,0.0346045197740113
Nordsee Ost,54.44,7.68,SE,0.10310734463276836
Nordsee Ost,54.44,7.68,S,0.1348870056497175
Nordsee Ost,54.44,7.68,SW,0.2457627118644068
Nordsee Ost,54.44,7.68,W,0.2634180790960452
Nordsee Ost,54.44,7.68,NW,0.1560734463276836
Albatros,54.49,6.24,N,0.031609195402298854
Albatros,54.49,6.24,NE,0.032327586206896554
Albatros,54.49,6.24,E,0.10129310344827586
Albatros,54.49,6.24,SE,0.05567528735632184
Albatros,54.49,6.24,S,0.14044540229885058
Albatros,54.49,6.24,SW,0.24317528735632185
Albatros,54.49,6.24,W,0.2665229885057471
Albatros,54.49,6.24,NW,0.12895114942528735
Kaskasi,54.49,7.69,N,0.04096045197740113
Kaskasi,54.49,7.69,NE,0.022598870056497175
Kaskasi,54.49,7.69,E,0.033192090395480225
Kaskasi,54.49,7.69,SE,0.1038135593220339
Kaskasi,54.49,7.69,S,0.13347457627118645
Kaskasi,54.49,7.69,SW,0.2443502824858757
Kaskasi,54.49,7.69,W,0.2655367231638418
Kaskasi,54.49,7.69,NW,0.1560734463276836
Global Tech I,54.51,6.36,N,0.041666666666666664
Global Tech I,54.51,6.36,NE,0.020480225988700564
Global Tech I,54.51,6.36,E,0.038135593220338986
Global Tech I,54.51,6.36,SE,0.08757062146892655
Global Tech I,54.51,6.36,S,0.13559322033898305
Global Tech I,54.51,6.36,SW,0.23022598870056496
Global Tech I,54.51,6.36,W,0.2923728813559322
Global Tech I,54.51,6.36,NW,0.153954802259887
Amrumbank West,54.52,7.71,N,0.04025423728813559
Amrumbank West,54.52,7.71,NE,0.021892655367231638
Amrumbank West,54.52,7.71,E,0.03389830508474576
Amrumbank West,54.52,7.71,SE,0.10805084745762712
Amrumbank West,54.52,7.71,S,0.1285310734463277
Amrumbank West,54.52,7.71,SW,0.23940677966101695
Amrumbank West,54.52,7.71,W,0.268361581920904
Amrumbank West,54.52,7.71,NW,0.1596045197740113
EnBW Windpark Baltic 1,54.61,12.65,N,0.04519774011299435
EnBW Windpark Baltic 1,54.61,12.65,NE,0.0035310734463276836
EnBW Windpark Baltic 1,54.61,12.65,E,0.03177966101694915
EnBW Windpark Baltic 1,54.61,12.65,SE,0.13206214689265536
EnBW Windpark Baltic 1,54.61,12.65,S,0.09463276836158192
EnBW Windpark Baltic 1,54.61,12.65,SW,0.2740112994350282
EnBW Windpark Baltic 1,54.61,12.65,W,0.2867231638418079
