analysis_label,farm_id,wind_farm,turbine_id,turbine_source_row,country,sea_basin,sea_basin_mapping_rule,latitude,longitude,farm_centroid_latitude,farm_centroid_longitude,distance_to_farm_centroid_m,distance_to_farm_centroid_quantile,exposure_group,outer_ring_proxy,farm_turbine_count,oem_manufacturer,turbine_model,rated_capacity_mw,rotor_diameter_m,hub_height_m,commissioning_date,commissioning_month,commissioning_year,steady_operational_start_month,turbine_age_years_at_observation_end,turbine_age_band_at_observation_end,water_depth_m,bathymetry_spatial_match_status,bathymetry_join_status,steady_manifest_months,observed_steady_months,observed_steady_years,success_steady_months,success_no_ais_in_bbox_steady_months,skipped_missing_source_steady_months,other_status_steady_months,steady_coverage_share,first_observed_steady_month,last_observed_steady_month,coverage_class,min_1yr_exposure,min_3yr_exposure,min_5yr_exposure
RQ9 turbine-level maintenance intervention intensity v1,Albatros,Albatros,Albatros::20,20,Germany,North Sea,germany_north_sea,54.4724,6.2586,54.48715,6.24359375,1905.2156013872245,0.6,inner_or_middle_proxy,False,16,Siemens Gamesa,SWT-7.0-154,7.0,154.0,105.0,2020-01,2020-01,2020,2020-07,5.916666666666667,3_to_7_years,40.12,ok,matched_processed_bathymetry,66,55,4.583333333333333,30,25,11,0,0.8333333333333334,2020-07,2025-02,medium_coverage,True,True,False
RQ9 turbine-level maintenance intervention intensity v1,Albatros,Albatros,Albatros::21,21,Germany,North Sea,germany_north_sea,54.4868,6.2831,54.48715,6.24359375,2552.0765260065255,0.8666666666666667,outer_exposed_proxy,True,16,Siemens Gamesa,SWT-7.0-154,7.0,154.0,105.0,2020-01,2020-01,2020,2020-07,5.916666666666667,3_to_7_years,40.23,ok,matched_processed_bathymetry,66,55,4.583333333333333,30,25,11,0,0.8333333333333334,2020-07,2025-02,medium_coverage,True,True,False
RQ9 turbine-level maintenance intervention intensity v1,Albatros,Albatros,Albatros::22,22,Germany,North Sea,germany_north_sea,54.4943,6.2972,54.48715,6.24359375,3552.3187437587235,1.0,outer_exposed_proxy,True,16,Siemens Gamesa,SWT-7.0-154,7.0,154.0,105.0,2020-01,2020-01,2020,2020-07,5.916666666666667,3_to_7_years,40.29,ok,matched_processed_bathymetry,66,55,4.583333333333333,30,25,11,0,0.8333333333333334,2020-07,2025-02,medium_coverage,True,True,False
RQ9 turbine-level maintenance intervention intensity v1,Albatros,Albatros,Albatros::23,23,Germany,North Sea,germany_north_sea,54.4943,6.2698,54.48715,6.24359375,1869.9818695644642,0.5333333333333333,inner_or_middle_proxy,False,16,Siemens Gamesa,SWT-7.0-154,7.0,154.0,105.0,2020-01,2020-01,2020,2020-07,5.916666666666667,3_to_7_years,40.2,ok,matched_processed_bathymetry,66,55,4.583333333333333,30,25,11,0,0.8333333333333334,2020-07,2025-02,medium_coverage,True,True,False
RQ9 turbine-level maintenance intervention intensity v1,Albatros,Albatros,Albatros::24,24,Germany,North Sea,germany_north_sea,54.4932,6.2581,54.48715,6.24359375,1153.4157131210475,0.26666666666666666,inner_or_middle_proxy,False,16,Siemens Gamesa,SWT-7.0-154,7.0,154.0,105.0,2020-01,2020-01,2020,2020-07,5.916666666666667,3_to_7_years,40.28,ok,matched_processed_bathymetry,66,55,4.583333333333333,30,25,11,0,0.8333333333333334,2020-07,2025-02,medium_coverage,True,True,False
RQ9 turbine-level maintenance intervention intensity v1,Albatros,Albatros,Albatros::25,25,Germany,North Sea,germany_north_sea,54.4819,6.2472,54.48715,6.24359375,628.5349435063854,0.0,inner_or_middle_proxy,False,16,Siemens Gamesa,SWT-7.0-154,7.0,154.0,105.0,2020-01,2020-01,2020,2020-07,5.916666666666667,3_to_7_years,40.15,ok,matched_processed_bathymetry,66,55,4.583333333333333,30,25,11,0,0.8333333333333334,2020-07,2025-02,medium_coverage,True,True,False
RQ9 turbine-level maintenance intervention intensity v1,Albatros,Albatros,Albatros::26,26,Germany,North Sea,germany_north_sea,54.4898,6.2349,54.48715,6.24359375,634.1435055222621,0.06666666666666667,inner_or_middle_proxy,False,16,Siemens Gamesa,SWT-7.0-154,7.0,154.0,105.0,2020-01,2020-01,2020,2020-07,5.916666666666667,3_to_7_years,40.31,ok,matched_processed_bathymetry,66,55,4.583333333333333,30,25,11,0,0.8333333333333334,2020-07,2025-02,medium_coverage,True,True,False
RQ9 turbine-level maintenance intervention intensity v1,Alpha Ventus,Alpha Ventus,Alpha_Ventus::27,27,Germany,North Sea,germany_north_sea,54.0003,6.6072,54.01095,6.606525,1185.0472319024136,0.5454545454545454,inner_or_middle_proxy,False,12,Adwen,M5000-116,5.0,116.0,90.0,2010-04,2010-04,2010,2010-10,15.666666666666666,15_plus_years,27.3,ok,matched_processed_bathymetry,183,171,14.25,92,79,12,0,0.9344262295081968,2010-10,2025-02,high_coverage,True,True,True
RQ9 turbine-level maintenance intervention intensity v1,Alpha Ventus,Alpha Ventus,Alpha_Ventus::28,28,Germany,North Sea,germany_north_sea,54.0217,6.6183,54.01095,6.606525,1421.5024068569614,0.8181818181818182,outer_exposed_proxy,True,12,Senvion,5M,5.08,126.0,92.0,2010-04,2010-04,2010,2010-10,15.666666666666666,15_plus_years,28.89,ok,matched_processed_bathymetry,183,171,14.25,92,79,12,0,0.9344262295081968,2010-10,2025-02,high_coverage,True,True,True
RQ9 turbine-level maintenance intervention intensity v1,Alpha Ventus,Alpha Ventus,Alpha_Ventus::29,29,Germany,North Sea,germany_north_sea,54.0143,6.6063,54.01095,6.606525,372.79299229027606,0.0,inner_or_middle_proxy,False,12,Senvion,5M,5.08,126.0,92.0,2010-04,2010-04,2010,2010-10,15.666666666666666,15_plus_years,28.58,ok,matched_processed_bathymetry,183,171,14.25,92,79,12,0,0.9344262295081968,2010-10,2025-02,high_coverage,True,True,True
