analysis_label,farm_id,turbine_count,farm_commissioning_start_month,farm_commissioning_end_month,ramp_up_months,steady_operational_start_month,operational_start_month,operational_start_source,operational_window_known,total_manifest_months,pre_operational_manifest_months,commissioning_manifest_months,steady_manifest_months,unknown_phase_manifest_months,manifest_months,observed_months,observed_years,commissioning_observed_months,commissioning_observed_years,steady_observed_months,steady_observed_years,unknown_phase_observed_months,unknown_phase_observed_years,success_months,success_no_ais_in_bbox_months,skipped_missing_source_months,other_status_months,coverage_share,first_observed_month,last_observed_month,tier_a_visit_count,tier_b_visit_count,candidate_intervention_count,long_dwell_count,unique_vessel_count,pre_operational_candidate_count,commissioning_candidate_count,steady_candidate_count,unknown_phase_candidate_count,commissioning_long_dwell_count,steady_long_dwell_count,unknown_phase_long_dwell_count,candidate_date_missing_count,duplicate_adjustment_available,duplicate_candidate_row_count,duplicate_group_adjusted_candidate_count,commissioning_duplicate_adjusted_count,steady_duplicate_adjusted_count,unknown_phase_duplicate_adjusted_count,duplicate_adjustment_delta,candidate_interventions_per_observed_farm_year,long_dwell_interventions_per_observed_farm_year,commissioning_intervention_intensity_per_farm_year,steady_intervention_intensity_per_farm_year,confidence_class,recommended_simulator_use
RQ9 farm-level maintenance intervention intensity,Butendiek,80,2015-08,2015-08,6,2016-02,2015-08,turbine_commissioning_date_range,True,192,67,6,119,0,125,113,9.416666666666666,6,0.5,107,8.916666666666666,0,0.0,92,21,12,0,0.904,2015-08,2025-02,472,8,480,443,26,6,0,480,0,0,443,0,0,True,0,480.0,0.0,480.0,0.0,0.0,50.97345132743363,47.04424778761062,0.0,53.831775700934585,high_observed_signal,steady_operational_only
RQ9 farm-level maintenance intervention intensity,Dan Tysk,80,2015-04,2015-04,6,2015-10,2015-04,turbine_commissioning_date_range,True,192,63,6,123,0,129,117,9.75,6,0.5,111,9.25,0,0.0,78,39,12,0,0.9069767441860465,2015-04,2025-02,403,78,481,405,43,8,0,481,0,0,405,0,0,True,0,481.0,0.0,481.0,0.0,0.0,49.333333333333336,41.53846153846154,0.0,52.0,high_observed_signal,steady_operational_only
RQ9 farm-level maintenance intervention intensity,Deutsche Bucht,31,2019-09,2019-09,6,2020-03,2019-09,turbine_commissioning_date_range,True,192,116,6,70,0,76,65,5.416666666666667,6,0.5,59,4.916666666666667,0,0.0,26,39,11,0,0.8552631578947368,2019-09,2025-02,47,8,55,44,5,12,1,54,0,1,43,0,0,True,46,55.0,1.0,54.0,0.0,0.0,10.153846153846153,8.123076923076923,2.0,10.983050847457626,high_observed_signal,steady_operational_only
RQ9 farm-level maintenance intervention intensity,Dudgeon,67,2017-10,2017-10,6,2018-04,2017-10,turbine_commissioning_date_range,True,192,93,6,93,0,99,88,7.333333333333333,6,0.5,82,6.833333333333333,0,0.0,11,77,11,0,0.8888888888888888,2017-10,2025-02,6,2,8,4,6,4,2,6,0,0,4,0,0,True,0,8.0,2.0,6.0,0.0,0.0,1.090909090909091,0.5454545454545455,4.0,0.8780487804878049,high_observed_signal,steady_operational_only
RQ9 farm-level maintenance intervention intensity,East Anglia One,102,2020-07,2020-07,6,2021-01,2020-07,turbine_commissioning_date_range,True,192,126,6,60,0,66,55,4.583333333333333,6,0.5,49,4.083333333333333,0,0.0,6,49,11,0,0.8333333333333334,2020-07,2025-02,1,1,2,1,2,2,0,2,0,0,1,0,0,True,0,2.0,0.0,2.0,0.0,0.0,0.4363636363636364,0.2181818181818182,0.0,0.489795918367347,high_observed_signal,steady_operational_only
RQ9 farm-level maintenance intervention intensity,EnBW Hohe See,71,2019-11,2019-11,6,2020-05,2019-11,turbine_commissioning_date_range,True,192,118,6,68,0,74,63,5.25,6,0.5,57,4.75,0,0.0,33,30,11,0,0.8513513513513513,2019-11,2025-02,99,5,104,89,3,38,2,102,0,2,87,0,0,True,83,95.0,2.0,93.0,0.0,9.0,19.80952380952381,16.952380952380953,4.0,21.473684210526315,high_observed_signal,steady_operational_only
RQ9 farm-level maintenance intervention intensity,EnBW Windpark Baltic 1,21,2011-05,2011-05,6,2011-11,2011-05,turbine_commissioning_date_range,True,192,16,6,170,0,176,164,13.666666666666666,6,0.5,158,13.166666666666666,0,0.0,70,94,17,0,0.9318181818181818,2011-05,2025-02,258,4,262,241,27,58,15,247,0,14,227,0,0,True,0,262.0,15.0,247.0,0.0,0.0,19.170731707317074,17.634146341463417,30.0,18.759493670886076,high_observed_signal,steady_operational_only
RQ9 farm-level maintenance intervention intensity,EnBW Windpark Baltic 2,80,2015-10,2015-10,6,2016-04,2015-10,turbine_commissioning_date_range,True,192,69,6,117,0,123,111,9.25,6,0.5,105,8.75,0,0.0,87,24,17,0,0.9024390243902439,2015-10,2025-02,624,13,637,582,44,65,0,637,0,0,582,0,0,True,443,637.0,0.0,637.0,0.0,0.0,68.86486486486487,62.91891891891892,0.0,72.8,high_observed_signal,steady_operational_only
RQ9 farm-level maintenance intervention intensity,Frederikshavn Offshore,4,2003-06,2003-06,6,2003-12,2003-06,turbine_commissioning_date_range,True,192,0,0,192,0,192,180,15.0,0,0.0,180,15.0,0,0.0,134,46,12,0,0.9375,2010-01,2025-02,18,30,48,45,9,0,0,48,0,0,45,0,0,True,0,48.0,0.0,48.0,0.0,0.0,3.2,3.0,,3.2,high_observed_signal,steady_operational_only
RQ9 farm-level maintenance intervention intensity,Fécamp,71,2024-05,2024-05,6,2024-11,2024-05,turbine_commissioning_date_range,True,192,172,6,14,0,20,9,0.75,6,0.5,3,0.25,0,0.0,0,9,11,0,0.45,2024-05,2025-02,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,low_coverage,insufficient_steady_coverage
