analysis_label,farm_id,wind_farm,turbine_id,country,sea_basin,sea_basin_mapping_rule,latitude,longitude,exposure_group,outer_ring_proxy,distance_to_farm_centroid_m,distance_to_farm_centroid_quantile,water_depth_m,oem_manufacturer,turbine_model,rated_capacity_mw,rotor_diameter_m,hub_height_m,commissioning_year,turbine_age_band_at_observation_end,observed_steady_months,observed_steady_years,steady_coverage_share,coverage_class,min_1yr_exposure,min_3yr_exposure,min_5yr_exposure,steady_high_event_count,steady_high_duplicate_adjusted_event_count,steady_high_unique_vessel_count,steady_high_repeat_visit_30d_count,steady_high_medium_event_count,steady_high_medium_duplicate_adjusted_event_count,steady_high_medium_unique_vessel_count,steady_high_medium_repeat_visit_30d_count,primary_intervention_intensity_per_steady_turbine_year,sensitivity_intervention_intensity_per_steady_turbine_year,turbine_intervention_confidence_class
RQ9 turbine-level maintenance intervention intensity v1,Alpha Ventus,Alpha Ventus,Alpha_Ventus::30,Germany,North Sea,germany_north_sea,54.0075,6.6067,inner_or_middle_proxy,False,383.792893314309,0.09090909090909091,28.22,Adwen,M5000-116,5.0,116.0,90.0,2010,15_plus_years,171,14.25,0.9344262295081968,high_coverage,True,True,True,4,4.0,1,2,10,10.0,1,9,0.2807017543859649,0.7017543859649122,high_observed_signal
RQ9 turbine-level maintenance intervention intensity v1,Alpha Ventus,Alpha Ventus,Alpha_Ventus::31,Germany,North Sea,germany_north_sea,54.0217,6.6059,inner_or_middle_proxy,False,1196.0426921842184,0.6363636363636364,28.89,Senvion,5M,5.08,126.0,92.0,2010,15_plus_years,171,14.25,0.9344262295081968,high_coverage,True,True,True,3,3.0,3,0,3,3.0,3,0,0.21052631578947367,0.21052631578947367,high_observed_signal
RQ9 turbine-level maintenance intervention intensity v1,Alpha Ventus,Alpha Ventus,Alpha_Ventus::32,Germany,North Sea,germany_north_sea,54.0003,6.5945,inner_or_middle_proxy,False,1421.2403169256513,0.7272727272727273,27.21,Adwen,M5000-116,5.0,116.0,90.0,2010,15_plus_years,171,14.25,0.9344262295081968,high_coverage,True,True,True,0,0.0,0,0,0,0.0,0,0,0.0,0.0,high_observed_zero
RQ9 turbine-level maintenance intervention intensity v1,Alpha Ventus,Alpha Ventus,Alpha_Ventus::33,Germany,North Sea,germany_north_sea,54.0003,6.6198,outer_exposed_proxy,True,1467.985723123928,1.0,27.79,Adwen,M5000-116,5.0,116.0,90.0,2010,15_plus_years,171,14.25,0.9344262295081968,high_coverage,True,True,True,0,0.0,0,0,1,1.0,1,0,0.0,0.07017543859649122,high_observed_zero
RQ9 turbine-level maintenance intervention intensity v1,Alpha Ventus,Alpha Ventus,Alpha_Ventus::34,Germany,North Sea,germany_north_sea,54.0075,6.6193,inner_or_middle_proxy,False,918.7012044498371,0.45454545454545453,28.63,Adwen,M5000-116,5.0,116.0,90.0,2010,15_plus_years,171,14.25,0.9344262295081968,high_coverage,True,True,True,1,1.0,1,0,7,7.0,3,4,0.07017543859649122,0.49122807017543857,high_observed_signal
RQ9 turbine-level maintenance intervention intensity v1,Alpha Ventus,Alpha Ventus,Alpha_Ventus::35,Germany,North Sea,germany_north_sea,54.0143,6.5938,inner_or_middle_proxy,False,911.0692108908203,0.36363636363636365,28.5,Senvion,5M,5.08,126.0,92.0,2010,15_plus_years,171,14.25,0.9344262295081968,high_coverage,True,True,True,1,1.0,1,0,2,2.0,2,0,0.07017543859649122,0.14035087719298245,high_observed_signal
RQ9 turbine-level maintenance intervention intensity v1,Alpha Ventus,Alpha Ventus,Alpha_Ventus::36,Germany,North Sea,germany_north_sea,54.0075,6.5942,inner_or_middle_proxy,False,892.0670970249433,0.2727272727272727,27.8,Adwen,M5000-116,5.0,116.0,90.0,2010,15_plus_years,171,14.25,0.9344262295081968,high_coverage,True,True,True,2,2.0,2,0,5,5.0,4,2,0.14035087719298245,0.3508771929824561,high_observed_signal
RQ9 turbine-level maintenance intervention intensity v1,Alpha Ventus,Alpha Ventus,Alpha_Ventus::37,Germany,North Sea,germany_north_sea,54.0217,6.5935,outer_exposed_proxy,True,1467.3070359957057,0.9090909090909091,29.8,Senvion,5M,5.08,126.0,92.0,2010,15_plus_years,171,14.25,0.9344262295081968,high_coverage,True,True,True,3,3.0,2,1,3,3.0,2,1,0.21052631578947367,0.21052631578947367,high_observed_signal
RQ9 turbine-level maintenance intervention intensity v1,Alpha Ventus,Alpha Ventus,Alpha_Ventus::38,Germany,North Sea,germany_north_sea,54.0143,6.6188,inner_or_middle_proxy,False,884.3183267810684,0.18181818181818182,28.75,Senvion,5M,5.08,126.0,92.0,2010,15_plus_years,171,14.25,0.9344262295081968,high_coverage,True,True,True,0,0.0,0,0,3,3.0,2,1,0.0,0.21052631578947367,high_observed_zero
RQ9 turbine-level maintenance intervention intensity v1,Amrumbank West,Amrumbank West,Amrumbank_West::100,Germany,North Sea,germany_north_sea,54.5388,7.7534,inner_or_middle_proxy,False,3512.880663345817,0.7215189873417721,20.66,Siemens,SWT-3.6-120,3.6,120.0,90.0,2015,8_to_14_years,105,8.75,0.8974358974358975,high_coverage,True,True,True,1,1.0,1,0,2,2.0,2,1,0.11428571428571428,0.22857142857142856,high_observed_signal
