scenario,scenario_label,farm_id,farm_commissioning_start_month,farm_commissioning_end_month,steady_operational_start_month,ramp_up_months,observed_years,commissioning_observed_years,steady_observed_years,coverage_share,commissioning_candidate_count,steady_candidate_count,commissioning_intervention_intensity_per_farm_year,steady_intervention_intensity_per_farm_year,confidence_class,recommended_simulator_use,notes
ramp_up_0_months,Steady operational starts 0 months after latest turbine commissioning month,Norther,2019-06,2019-06,2019-06,0,5.666666666666667,0.0,5.666666666666667,0.8607594936708861,0,0,,0.0,high_observed_zero,validation_required,Read-only ramp-up sensitivity from existing manifest and dwell tables.
ramp_up_0_months,Steady operational starts 0 months after latest turbine commissioning month,Northwester 2,2020-05,2020-05,2020-05,0,4.75,0.0,4.75,0.8382352941176471,0,0,,0.0,high_observed_zero,validation_required,Read-only ramp-up sensitivity from existing manifest and dwell tables.
ramp_up_0_months,Steady operational starts 0 months after latest turbine commissioning month,Northwind,2014-06,2014-06,2014-06,0,10.583333333333334,0.0,10.583333333333334,0.9136690647482014,0,0,,0.0,high_observed_zero,validation_required,Read-only ramp-up sensitivity from existing manifest and dwell tables.
ramp_up_0_months,Steady operational starts 0 months after latest turbine commissioning month,Nysted,2003-12,2003-12,2003-12,0,15.0,0.0,15.0,0.9375,0,429,,28.6,high_observed_signal,steady_operational_only,Read-only ramp-up sensitivity from existing manifest and dwell tables.
ramp_up_0_months,Steady operational starts 0 months after latest turbine commissioning month,OWF Egmond aan Zee,2007-01,2007-01,2007-01,0,15.0,0.0,15.0,0.9375,0,9,,0.6,high_observed_signal,steady_operational_only,Read-only ramp-up sensitivity from existing manifest and dwell tables.
ramp_up_0_months,Steady operational starts 0 months after latest turbine commissioning month,OWF Luchterduinen,2015-09,2015-09,2015-09,0,9.333333333333334,0.0,9.333333333333334,0.9032258064516129,0,2,,0.21428571428571427,high_observed_signal,steady_operational_only,Read-only ramp-up sensitivity from existing manifest and dwell tables.
ramp_up_0_months,Steady operational starts 0 months after latest turbine commissioning month,OWF Prinses Amalia,2008-07,2008-07,2008-07,0,15.0,0.0,15.0,0.9375,0,11,,0.7333333333333333,high_observed_signal,steady_operational_only,Read-only ramp-up sensitivity from existing manifest and dwell tables.
ramp_up_0_months,Steady operational starts 0 months after latest turbine commissioning month,Ormonde,2012-02,2012-02,2012-02,0,12.916666666666666,0.0,12.916666666666666,0.9281437125748503,0,25,,1.935483870967742,high_observed_signal,steady_operational_only,Read-only ramp-up sensitivity from existing manifest and dwell tables.
ramp_up_0_months,Steady operational starts 0 months after latest turbine commissioning month,Race Bank,2018-02,2018-02,2018-02,0,7.0,0.0,7.0,0.8842105263157894,0,6,,0.8571428571428571,high_observed_signal,steady_operational_only,Read-only ramp-up sensitivity from existing manifest and dwell tables.
ramp_up_0_months,Steady operational starts 0 months after latest turbine commissioning month,Rampion,2018-11,2018-11,2018-11,0,6.25,0.0,6.25,0.872093023255814,0,0,,0.0,high_observed_zero,validation_required,Read-only ramp-up sensitivity from existing manifest and dwell tables.
ramp_up_0_months,Steady operational starts 0 months after latest turbine commissioning month,Renland,2003-01,2003-01,2003-01,0,15.0,0.0,15.0,0.9375,0,26,,1.7333333333333334,high_observed_signal,steady_operational_only,Read-only ramp-up sensitivity from existing manifest and dwell tables.
ramp_up_0_months,Steady operational starts 0 months after latest turbine commissioning month,Rentel,2018-12,2018-12,2018-12,0,6.166666666666667,0.0,6.166666666666667,0.8705882352941177,0,1,,0.16216216216216214,high_observed_signal,steady_operational_only,Read-only ramp-up sensitivity from existing manifest and dwell tables.
ramp_up_0_months,Steady operational starts 0 months after latest turbine commissioning month,Rhyl Flats,2009-12,2009-12,2009-12,0,15.0,0.0,15.0,0.9375,0,16,,1.0666666666666667,high_observed_signal,steady_operational_only,Read-only ramp-up sensitivity from existing manifest and dwell tables.
ramp_up_0_months,Steady operational starts 0 months after latest turbine commissioning month,Riffgat,2014-03,2014-03,2014-03,0,10.833333333333334,0.0,10.833333333333334,0.9154929577464789,0,51,,4.707692307692308,high_observed_signal,steady_operational_only,Read-only ramp-up sensitivity from existing manifest and dwell tables.
ramp_up_0_months,Steady operational starts 0 months after latest turbine commissioning month,Robin Rigg West,2010-09,2010-09,2010-09,0,14.333333333333334,0.0,14.333333333333334,0.9347826086956522,0,12,,0.8372093023255813,high_observed_signal,steady_operational_only,Read-only ramp-up sensitivity from existing manifest and dwell tables.
ramp_up_0_months,Steady operational starts 0 months after latest turbine commissioning month,Rodsand II,2010-10,2010-10,2010-10,0,14.25,0.0,14.25,0.9344262295081968,0,657,,46.10526315789474,high_observed_signal,steady_operational_only,Read-only ramp-up sensitivity from existing manifest and dwell tables.
ramp_up_0_months,Steady operational starts 0 months after latest turbine commissioning month,Saint-Brieuc,2024-05,2024-05,2024-05,0,0.75,0.0,0.75,0.45,0,0,,0.0,low_coverage,insufficient_steady_coverage,Read-only ramp-up sensitivity from existing manifest and dwell tables.
ramp_up_0_months,Steady operational starts 0 months after latest turbine commissioning month,Saint-Nazaire,2022-11,2022-11,2022-11,0,2.25,0.0,2.25,0.7105263157894737,0,0,,0.0,low_signal_ambiguous,validation_required,Read-only ramp-up sensitivity from existing manifest and dwell tables.
ramp_up_0_months,Steady operational starts 0 months after latest turbine commissioning month,Samsa,2003-02,2003-02,2003-02,0,15.0,0.0,15.0,0.9375,0,103,,6.866666666666666,high_observed_signal,steady_operational_only,Read-only ramp-up sensitivity from existing manifest and dwell tables.
ramp_up_0_months,Steady operational starts 0 months after latest turbine commissioning month,Sandbank,2017-01,2017-01,2017-01,0,8.083333333333334,0.0,8.083333333333334,0.8981481481481481,0,303,,37.48453608247422,high_observed_signal,steady_operational_only,Read-only ramp-up sensitivity from existing manifest and dwell tables.
ramp_up_0_months,Steady operational starts 0 months after latest turbine commissioning month,Scroby Sands,2004-12,2004-12,2004-12,0,15.0,0.0,15.0,0.9375,0,15,,1.0,high_observed_signal,steady_operational_only,Read-only ramp-up sensitivity from existing manifest and dwell tables.
ramp_up_0_months,Steady operational starts 0 months after latest turbine commissioning month,SeaStar,2020-12,2020-12,2020-12,0,4.166666666666667,0.0,4.166666666666667,0.819672131147541,0,1,,0.24,high_observed_signal,steady_operational_only,Read-only ramp-up sensitivity from existing manifest and dwell tables.
ramp_up_0_months,Steady operational starts 0 months after latest turbine commissioning month,Seagreen,2023-10,2023-10,2023-10,0,1.3333333333333333,0.0,1.3333333333333333,0.5925925925925926,0,8,,6.0,low_coverage,validation_required,Read-only ramp-up sensitivity from existing manifest and dwell tables.
ramp_up_0_months,Steady operational starts 0 months after latest turbine commissioning month,Sheringham Shoal,2013-04,2013-04,2013-04,0,11.75,0.0,11.75,0.9215686274509803,0,8,,0.6808510638297872,high_observed_signal,steady_operational_only,Read-only ramp-up sensitivity from existing manifest and dwell tables.
ramp_up_0_months,Steady operational starts 0 months after latest turbine commissioning month,Sprogo,2009-12,2009-12,2009-12,0,15.0,0.0,15.0,0.9375,0,15,,1.0,high_observed_signal,steady_operational_only,Read-only ramp-up sensitivity from existing manifest and dwell tables.
ramp_up_0_months,Steady operational starts 0 months after latest turbine commissioning month,Teesside,2014-04,2014-04,2014-04,0,10.75,0.0,10.75,0.9148936170212766,0,0,,0.0,high_observed_zero,validation_required,Read-only ramp-up sensitivity from existing manifest and dwell tables.
ramp_up_0_months,Steady operational starts 0 months after latest turbine commissioning month,Thanet,2010-09,2010-09,2010-09,0,14.333333333333334,0.0,14.333333333333334,0.9347826086956522,0,27,,1.8837209302325582,high_observed_signal,steady_operational_only,Read-only ramp-up sensitivity from existing manifest and dwell tables.
