control_name,control_value,control_columns,baltic_turbines,north_sea_turbines,baltic_farms,north_sea_farms,baltic_years,north_sea_years,baltic_high_events,north_sea_high_events,baltic_high_medium_events,north_sea_high_medium_events,baltic_primary_intensity,north_sea_primary_intensity,primary_baltic_to_north_sea_ratio,baltic_sensitivity_intensity,north_sea_sensitivity_intensity,sensitivity_baltic_to_north_sea_ratio,baltic_zero_event_share,north_sea_zero_event_share,baltic_dominant_farm_by_events,baltic_dominant_farm_event_share,north_sea_dominant_farm_by_events,north_sea_dominant_farm_event_share,either_side_farm_dominated,both_sides_100_turbine_years,interpretation_flag
OEM_capacity,Siemens | lt_3_mw,oem_group+capacity_band,160,123,4,4,2249.0,1656.25,584.5,149.0,1169.5,511.5,0.2598932859048466,0.0899622641509434,2.888914461610082,0.5200088928412628,0.3088301886792453,1.683802011277305,0.13125,0.5934959349593496,Lillgrund,0.4602224123182207,Horns Rev II,1.0,True,True,farm_dominated_or_too_few_farms
OEM_capacity,Siemens Gamesa | 8_to_9_9_mw,oem_group+capacity_band,72,450,1,8,210.00000000000003,966.0833333333334,199.0,60.5,358.0,195.66666666666666,0.9476190476190475,0.06262399723971362,15.131883772792861,1.7047619047619045,0.2025360131113603,8.417080392634054,0.1388888888888889,0.92,Kriegers Flak,1.0,Vesterhav Syd,0.5289256198347108,True,True,farm_dominated_or_too_few_farms
OEM_capacity,Vestas | 3_to_4_9_mw,oem_group+capacity_band,9,680,2,12,132.08333333333334,7334.916666666666,6.0,39.0,8.0,71.5,0.04542586750788643,0.005317033822242925,8.543460325163792,0.060567823343848574,0.009747895340778696,6.213425691028213,0.4444444444444444,0.9470588235294117,Sprogo,1.0,Thanet,0.38461538461538464,True,True,farm_dominated_or_too_few_farms
OEM_capacity,Vestas | 8_to_9_9_mw,oem_group+capacity_band,77,565,2,14,18.0,2340.5,25.0,79.5,86.0,264.5,1.3888888888888888,0.033967101046784874,40.889238294898675,4.777777777777778,0.1130100405896176,42.27746271791641,0.8181818181818182,0.9008849557522124,Arcadis Ost 1,1.0,Horns Rev III,0.6163522012578616,True,False,farm_dominated_or_too_few_farms
OEM_capacity,Vestas | lt_3_mw,oem_group+capacity_band,10,204,1,5,150.0,3060.0,30.0,268.0,34.0,605.0,0.2,0.08758169934640522,2.283582089552239,0.22666666666666666,0.1977124183006536,1.1464462809917355,0.3,0.6029411764705882,Tunm Knob,1.0,Horns Rev I,0.9029850746268657,True,True,farm_dominated_or_too_few_farms
OEM_age,Siemens | 15_plus_years,oem_group+age_band,139,248,3,8,1972.5,3605.0833333333335,520.5,195.83333333333334,963.5,614.8333333333334,0.26387832699619773,0.05432144425695199,4.857719278375536,0.48846641318124207,0.1705462194586348,2.864129235651086,0.1366906474820144,0.6491935483870968,Lillgrund,0.5168107588856868,Horns Rev II,0.7608510638297872,True,True,farm_dominated_or_too_few_farms
OEM_age,Siemens | 3_to_7_years,oem_group+age_band,60,148,1,3,334.99999999999994,946.1666666666667,84.0,4.0,334.0,6.0,0.25074626865671645,0.004227584992073278,59.31194029850747,0.9970149253731345,0.006341377488109917,157.2237147595357,0.43333333333333335,0.972972972972973,Arkona-Becken Südost,1.0,Race Bank,1.0,True,True,farm_dominated_or_too_few_farms
OEM_age,Siemens | 8_to_14_years,oem_group+age_band,215,1798,4,23,2216.75,16986.916666666668,429.0,667.8333333333333,1351.0,1925.3333333333333,0.19352655915191158,0.039314570527317586,4.922514898577878,0.6094507725273486,0.11334213095372418,5.377089414140077,0.2372093023255814,0.8147942157953282,Anholt,0.46386946386946387,Butendiek,0.17519341152982282,False,True,usable_controlled_contrast
OEM_age,Siemens Gamesa | 3_to_7_years,oem_group+age_band,72,773,1,11,210.00000000000003,3076.0,199.0,20.0,358.0,78.0,0.9476190476190475,0.006501950585175552,145.74380952380952,1.7047619047619045,0.025357607282184655,67.22881562881562,0.1388888888888889,0.9767141009055628,Kriegers Flak,1.0,EnBW Hohe See,0.775,True,True,farm_dominated_or_too_few_farms
OEM_age,Vestas | 0_to_2_years,oem_group+age_band,77,114,2,1,18.0,95.0,25.0,1.0,86.0,2.0,1.3888888888888888,0.010526315789473684,131.94444444444443,4.777777777777778,0.021052631578947368,226.94444444444446,0.8181818181818182,0.9912280701754386,Arcadis Ost 1,1.0,Seagreen,1.0,True,False,farm_dominated_or_too_few_farms
OEM_age,Vestas | 15_plus_years,oem_group+age_band,19,515,3,11,282.08333333333337,7460.416666666667,36.0,303.0,42.0,668.5,0.12762186115214177,0.04061435353253281,3.142284686371148,0.1488921713441654,0.0896062552359676,1.6616269807512352,0.3684210526315789,0.7805825242718447,Tunm Knob,0.8333333333333334,Horns Rev I,0.7986798679867987,True,True,farm_dominated_or_too_few_farms
capacity_age,3_to_4_9_mw | 15_plus_years,capacity_band+age_band,9,463,2,11,132.08333333333334,6626.0,6.0,81.83333333333334,8.0,166.83333333333334,0.04542586750788643,0.012350337056041856,3.6781075125122866,0.060567823343848574,0.0251785893953114,2.405528856002042,0.4444444444444444,0.8509719222462203,Sprogo,1.0,Inner Dowsing,0.19959266802443992,True,True,farm_dominated_or_too_few_farms
capacity_age,3_to_4_9_mw | 8_to_14_years,capacity_band+age_band,194,1751,3,21,1940.2499999999998,16911.166666666664,365.0,544.8333333333333,1145.0,1681.8333333333333,0.18812008761757507,0.03221737116500931,5.839088690820584,0.5901301378688314,0.09945105305173112,5.933875205543227,0.25257731958762886,0.8338092518560822,Anholt,0.5452054794520548,Butendiek,0.2147445702049557,True,True,farm_dominated_or_too_few_farms
capacity_age,5_to_7_9_mw | 3_to_7_years,capacity_band+age_band,130,701,2,11,743.3333333333334,3598.6666666666665,245.0,134.5,1053.0,386.5,0.3295964125560538,0.037374953686550576,8.818644039541901,1.416591928251121,0.10740088921822898,13.189759773522296,0.38461538461538464,0.8944365192582026,Wikinger,0.6571428571428571,Trianel Windpark Borkum 2,0.4795539033457249,True,True,farm_dominated_or_too_few_farms
capacity_age,8_to_9_9_mw | 0_to_2_years,capacity_band+age_band,77,133,2,4,18.0,70.91666666666667,25.0,60.5,86.0,194.66666666666666,1.3888888888888888,0.8531139835487661,1.6280226507499236,4.777777777777778,2.7450058754406577,1.7405346270928466,0.8181818181818182,0.7293233082706767,Arcadis Ost 1,1.0,Vesterhav Syd,0.5289256198347108,True,False,farm_dominated_or_too_few_farms
capacity_age,8_to_9_9_mw | 3_to_7_years,capacity_band+age_band,72,850,1,17,210.00000000000003,3001.0,199.0,79.5,358.0,265.5,0.9476190476190475,0.026491169610129955,35.771129080563036,1.7047619047619045,0.08847050983005665,19.269267330284276,0.1388888888888889,0.9341176470588235,Kriegers Flak,1.0,Horns Rev III,0.6163522012578616,True,True,farm_dominated_or_too_few_farms
capacity_age,lt_3_mw | 15_plus_years,capacity_band+age_band,252,300,7,7,3667.5,4439.5,828.5,417.0,1529.0,1116.5,0.22590320381731424,0.09392949656492848,2.4050294324867303,0.4169052488070893,0.2514922851672486,1.6577257967568946,0.21428571428571427,0.5633333333333334,Lillgrund,0.3246831623415812,Horns Rev I,0.580335731414868,True,True,farm_dominated_or_too_few_farms
capacity_age,lt_3_mw | 8_to_14_years,capacity_band+age_band,21,27,1,1,276.5,276.75,64.0,0.0,206.0,0.0,0.2314647377938517,0.0,,0.7450271247739603,0.0,,0.09523809523809523,1.0,EnBW Windpark Baltic 1,1.0,Teesside,,True,True,farm_dominated_or_too_few_farms
OEM_capacity_age,Siemens | 3_to_4_9_mw | 8_to_14_years,oem_group+capacity_band+age_band,194,1498,3,16,1940.2499999999998,14643.666666666668,365.0,540.8333333333333,1145.0,1673.8333333333333,0.18812008761757507,0.03693291752976258,5.093561521804432,0.5901301378688314,0.11430424984634995,5.16280137144591,0.25257731958762886,0.8084112149532711,Anholt,0.5452054794520548,Butendiek,0.21633281972265025,True,True,farm_dominated_or_too_few_farms
OEM_capacity_age,Siemens | 5_to_7_9_mw | 3_to_7_years,oem_group+capacity_band+age_band,60,147,1,2,334.99999999999994,946.1666666666667,84.0,4.0,334.0,6.0,0.25074626865671645,0.004227584992073278,59.31194029850747,0.9970149253731345,0.006341377488109917,157.2237147595357,0.43333333333333335,0.9727891156462585,Arkona-Becken Südost,1.0,Race Bank,1.0,True,True,farm_dominated_or_too_few_farms
OEM_capacity_age,Siemens | lt_3_mw | 15_plus_years,oem_group+capacity_band+age_band,139,96,3,3,1972.5,1379.5,520.5,149.0,963.5,511.5,0.26387832699619773,0.10801014860456687,2.443088269068824,0.48846641318124207,0.3707865168539326,1.317379114337289,0.1366906474820144,0.4791666666666667,Lillgrund,0.5168107588856868,Horns Rev II,1.0,True,True,farm_dominated_or_too_few_farms
OEM_capacity_age,Siemens | lt_3_mw | 8_to_14_years,oem_group+capacity_band+age_band,21,27,1,1,276.5,276.75,64.0,0.0,206.0,0.0,0.2314647377938517,0.0,,0.7450271247739603,0.0,,0.09523809523809523,1.0,EnBW Windpark Baltic 1,1.0,Teesside,,True,True,farm_dominated_or_too_few_farms
OEM_capacity_age,Siemens Gamesa | 8_to_9_9_mw | 3_to_7_years,oem_group+capacity_band+age_band,72,317,1,4,210.00000000000003,895.1666666666667,199.0,0.0,358.0,1.0,0.9476190476190475,0.0,,1.7047619047619045,0.0011171104077452988,1526.0460317460315,0.1388888888888889,1.0,Kriegers Flak,1.0,Borssele Kavel I and II,,True,True,farm_dominated_or_too_few_farms
OEM_capacity_age,Vestas | 3_to_4_9_mw | 15_plus_years,oem_group+capacity_band+age_band,9,311,2,6,132.08333333333334,4400.416666666666,6.0,35.0,8.0,63.5,0.04542586750788643,0.007953792254521353,5.711221270842721,0.060567823343848574,0.014430451661774455,4.19722298119675,0.4444444444444444,0.8971061093247589,Sprogo,1.0,Thanet,0.42857142857142855,True,True,farm_dominated_or_too_few_farms
OEM_capacity_age,Vestas | lt_3_mw | 15_plus_years,oem_group+capacity_band+age_band,10,204,1,5,150.0,3060.0,30.0,268.0,34.0,605.0,0.2,0.08758169934640522,2.283582089552239,0.22666666666666666,0.1977124183006536,1.1464462809917355,0.3,0.6029411764705882,Tunm Knob,1.0,Horns Rev I,0.9029850746268657,True,True,farm_dominated_or_too_few_farms
country_OEM_capacity_age,Denmark | Siemens | lt_3_mw | 15_plus_years,country_group+oem_group+capacity_band+age_band,91,95,2,2,1252.5,1379.5,251.5,149.0,653.5,511.5,0.20079840319361278,0.10801014860456687,1.8590697799032807,0.5217564870259481,0.3707865168539326,1.4071614347063448,0.15384615384615385,0.47368421052631576,Rodsand II,0.952286282306163,Horns Rev II,1.0,True,True,farm_dominated_or_too_few_farms
country_OEM_capacity_age,Denmark | Vestas | lt_3_mw | 15_plus_years,country_group+oem_group+capacity_band+age_band,10,84,1,2,150.0,1260.0,30.0,242.0,34.0,571.0,0.2,0.19206349206349208,1.0413223140495869,0.22666666666666666,0.4531746031746032,0.5001751313485113,0.3,0.27380952380952384,Tunm Knob,1.0,Horns Rev I,1.0,True,True,farm_dominated_or_too_few_farms
country_OEM_capacity_age,Germany | Siemens | 3_to_4_9_mw | 8_to_14_years,country_group+oem_group+capacity_band+age_band,80,500,1,7,700.0,4458.5,165.0,511.8333333333333,613.0,1615.8333333333333,0.2357142857142857,0.11479944674965421,2.0532702237521514,0.8757142857142857,0.36241635826698065,2.4163210786119502,0.325,0.482,EnBW Windpark Baltic 2,1.0,Butendiek,0.2285900358189515,True,True,farm_dominated_or_too_few_farms
