farm_id,wind_farm,sea_basin,country,turbine_count,observed_steady_turbine_years,observed_steady_months,steady_manifest_months,success_steady_months,success_no_ais_in_bbox_steady_months,skipped_missing_source_steady_months,farm_centroid_latitude,farm_centroid_longitude,mean_water_depth_m,steady_coverage_share,success_no_ais_share_of_observed,skipped_missing_source_share_of_manifest,zero_event_turbine_share_high_confidence,high_confidence_event_count,high_confidence_adjusted_event_count,high_medium_event_count,high_medium_adjusted_event_count,high_coverage_zero_event_turbine_share,tier_a_steady_event_count,tier_a_high_assignment_count,tier_a_high_medium_assignment_count,median_distance_to_turbine_m,tier_a_high_assignment_share,tier_a_high_medium_assignment_share,high_confidence_unique_mmsi,high_confidence_median_duration_min,high_confidence_p90_duration_min,high_confidence_top5_mmsi_share,all_dwell_event_count,all_dwell_unique_mmsi,all_dwell_top5_mmsi_share,all_dwell_median_duration_min,all_dwell_share_le_60min,all_dwell_share_le_120min,tier_a_all_dwell_count,tier_b_all_dwell_count,tier_a_share_all_dwell,primary_intervention_intensity_per_steady_turbine_year,sensitivity_intervention_intensity_per_steady_turbine_year,direct_receiver_metadata_available,offshore_or_receiver_distance_available,observability_control_note
Kaskasi,Kaskasi,North Sea,Germany,38,53.833333333333336,646,1064,532,114,418,54.488739473684205,7.691581578947367,23.448947368421052,0.6071428571428571,0.17647058823529413,0.39285714285714285,0.6578947368421053,20,18.5,112,101.66666666666667,,196.0,20.0,112.0,448.6943591911058,0.10204081632653061,0.5714285714285714,7.0,413.23333333333335,734.2850000000009,0.9,1021.0,101.0,0.4681684622918707,347.6666666666667,0.07933398628795299,0.20274240940254654,244.0,10.0,0.23898139079333985,0.3436532507739938,1.888544891640867,False,False,low_source_status_coverage
Horns Rev I,Horns Rev I,North Sea,Denmark,80,1200.0,14400,15360,10720,3680,960,55.48614250000001,7.84055125,8.622263714999999,0.9375,0.25555555555555554,0.0625,0.2375,242,242.0,571,571.0,0.2375,572.0,242.0,571.0,217.34752585613998,0.4230769230769231,0.9982517482517482,26.0,464.9,510.4266666666667,0.731404958677686,808.0,68.0,0.6089108910891089,466.5083333333333,0.043316831683168314,0.09900990099009901,572.0,15.0,0.7079207920792079,0.20166666666666666,0.47583333333333333,False,False,proxy_controls_only
Horns Rev III,Horns Rev III,North Sea,Denmark,49,245.0,2940,3479,2940,0,539,55.69455918367346,7.655767346938776,15.0858338877551,0.8450704225352113,0.0,0.15492957746478872,0.3877551020408163,49,49.0,182,181.5,0.3877551020408163,429.0,49.0,182.0,594.5968781735115,0.11421911421911422,0.42424242424242425,12.0,449.71666666666664,1558.8766666666684,0.8163265306122449,1243.0,151.0,0.6138374899436846,270.75,0.08688656476267095,0.35317779565567176,530.0,17.0,0.4263877715205149,0.2,0.7408163265306122,False,False,low_tier_a_high_assignment_share
Butendiek,Butendiek,North Sea,Germany,80,713.3333333333333,8560,9520,7360,1200,960,55.01646624999999,7.774015,19.298125,0.8991596638655462,0.14018691588785046,0.10084033613445378,0.4375,117,117.0,449,449.0,0.4375,472.0,117.0,449.0,289.6109074319329,0.2478813559322034,0.951271186440678,18.0,434.73333333333335,1439.4399999999998,0.7948717948717948,588.0,41.0,0.7482993197278912,426.29999999999995,0.04591836734693878,0.09693877551020408,477.0,9.0,0.8112244897959183,0.16401869158878507,0.6294392523364487,False,False,low_tier_a_high_assignment_share
Gode Wind 1 and 2,Gode Wind 1 and 2,North Sea,Germany,97,767.9166666666667,9215,10282,3977,5238,1067,54.04280618556702,6.992953608247423,31.983092783505157,0.8962264150943396,0.5684210526315789,0.10377358490566038,0.6701030927835051,110,110.0,207,205.5,0.6701030927835051,260.0,110.0,207.0,268.7051374541603,0.4230769230769231,0.7961538461538461,13.0,316.43333333333334,1171.200000000001,0.8727272727272727,894.0,82.0,0.34675615212527966,244.4,0.1174496644295302,0.2807606263982103,262.0,64.0,0.2930648769574944,0.14324470971242537,0.2676071622354856,False,False,proxy_controls_only
Dan Tysk,Dan Tysk,North Sea,Germany,80,740.0,8880,9840,6240,2640,960,55.14063625,7.19968875,25.6145,0.9024390243902439,0.2972972972972973,0.0975609756097561,0.45,103,103.0,251,251.0,0.45,403.0,103.0,251.0,431.84380672074184,0.2555831265508685,0.6228287841191067,21.0,466.0833333333333,2330.7799999999993,0.7281553398058253,711.0,76.0,0.49226441631504925,428.73333333333335,0.09845288326300984,0.18706047819971872,408.0,81.0,0.5738396624472574,0.13918918918918918,0.33918918918918917,False,False,proxy_controls_only
Meerwind Sued/Ost,Meerwind Sued/Ost,North Sea,Germany,80,766.6666666666667,9200,10160,5200,4000,960,54.38986250000001,7.7012825,24.2205,0.905511811023622,0.43478260869565216,0.09448818897637795,0.375,104,104.0,307,307.0,0.375,356.0,104.0,307.0,306.9877408523672,0.29213483146067415,0.8623595505617978,18.0,280.9916666666667,671.7566666666668,0.75,982.0,112.0,0.42668024439918534,235.39999999999998,0.09572301425661914,0.3014256619144603,362.0,6.0,0.36863543788187375,0.13565217391304346,0.40043478260869564,False,False,proxy_controls_only
Merkur Offshore,Merkur Offshore,North Sea,Germany,66,341.0,4092,4818,3102,990,726,54.04427272727273,6.555739393939394,30.396212121212123,0.8493150684931506,0.24193548387096775,0.1506849315068493,0.5,46,46.0,213,212.5,0.5,225.0,46.0,213.0,334.0792853490449,0.20444444444444446,0.9466666666666667,7.0,333.4666666666667,1618.6666666666667,0.9565217391304348,1082.0,121.0,0.5489833641404805,255.45833333333334,0.09796672828096119,0.2587800369685767,242.0,295.0,0.22365988909426987,0.1348973607038123,0.6231671554252199,False,False,low_tier_a_high_assignment_share
Nordsee One,Nordsee One,North Sea,Germany,54,360.0,4320,4914,3186,1134,594,53.98085,6.816551851851852,28.005925925925926,0.8791208791208791,0.2625,0.12087912087912088,0.4444444444444444,42,42.0,105,105.0,0.4444444444444444,133.0,42.0,105.0,338.875433341903,0.3157894736842105,0.7894736842105263,8.0,253.14166666666668,484.28833333333336,0.8571428571428571,412.0,61.0,0.4344660194174757,214.825,0.13106796116504854,0.3131067961165049,140.0,5.0,0.33980582524271846,0.11666666666666667,0.2916666666666667,False,False,proxy_controls_only
Horns Rev II,Horns Rev II,North Sea,Denmark,91,1319.5,15834,16926,11648,4186,1092,55.599856043956045,7.584526373626374,11.954487795604397,0.9354838709677419,0.26436781609195403,0.06451612903225806,0.45054945054945056,149,149.0,512,511.5,0.45054945054945056,529.0,149.0,512.0,265.2482571141232,0.28166351606805295,0.9678638941398866,19.0,484.1,587.59,0.87248322147651,1380.0,123.0,0.5811594202898551,294.325,0.07971014492753623,0.30217391304347824,536.0,3.0,0.3884057971014493,0.11292156119742326,0.387646835922698,False,False,proxy_controls_only
